var	ctrl	d3g1lg4	d3g2l
Variant_000245	65	40	15
Variant_000246	57	32	23
Variant_000247	48	44	26
Variant_000248	32	14	5
Variant_000249	79	42	17
Variant_000250	38	30	10
Variant_000251	33	38	22
Variant_000252	27	9	4
Variant_000253	63	23	16
Variant_000254	28	15	11
Variant_000255	54	21	11
Variant_000256	26	13	7
Variant_000257	76	63	36
Variant_000258	41	47	27
Variant_000259	52	59	33
Variant_000260	25	10	7
Variant_000261	47	36	21
Variant_000262	37	11	10
Variant_000263	35	24	14
Variant_000264	23	7	4
Variant_000265	48	24	7
Variant_000266	28	33	15
Variant_000267	26	9	2
Variant_000268	19	7	1
Variant_000269	43	15	10
Variant_000270	24	17	8
Variant_000271	29	9	7
Variant_000272	20	18	9
Variant_000273	38	25	14
Variant_000274	39	31	17
Variant_000275	29	21	14
Variant_000276	21	23	19
Variant_000277	23	16	11
Variant_000278	17	8	3
Variant_000279	26	1	6
Variant_000280	18	22	6
Variant_000281	40	24	18
Variant_000282	16	9	9
Variant_000283	17	15	4
Variant_000284	18	10	5
Variant_000285	30	7	8
Variant_000286	13	7	3
Variant_000287	18	4	2
Variant_000288	8	3	0
Variant_000289	42	27	26
Variant_000290	20	24	20
Variant_000291	21	11	10
Variant_000292	20	3	2
Variant_000293	23	9	12
Variant_000294	16	13	10
Variant_000295	27	15	4
Variant_000296	19	5	4
Variant_000297	36	18	19
Variant_000298	31	22	15
Variant_000299	20	27	11
Variant_000300	10	14	6
Variant_000301	20	12	5
Variant_000302	10	2	2
Variant_000303	8	5	2
Variant_000304	4	2	0
Variant_000305	27	14	9
Variant_000306	33	24	11
Variant_000307	20	6	4
Variant_000308	25	8	5
Variant_000309	26	9	3
Variant_000310	16	9	5
Variant_000311	16	5	3
Variant_000312	24	6	3
Variant_000313	12	13	1
Variant_000314	26	22	16
Variant_000315	19	12	4
Variant_000316	11	18	6
Variant_000317	22	4	7
Variant_000318	17	13	8
Variant_000319	19	4	4
Variant_000320	14	12	13
Variant_000321	139	112	53
Variant_000322	69	85	48
Variant_000323	102	90	51
Variant_000324	49	48	36
Variant_000325	77	74	43
Variant_000326	38	22	11
Variant_000327	58	28	33
Variant_000328	40	24	16
Variant_000329	92	49	45
Variant_000330	51	47	28
Variant_000331	38	20	10
Variant_000332	24	10	6
Variant_000333	59	31	16
Variant_000334	38	23	16
Variant_000335	40	13	9
Variant_000336	30	10	9
Variant_000337	74	45	28
Variant_000338	51	71	41
Variant_000339	44	35	22
Variant_000340	32	34	22
Variant_000341	43	11	9
Variant_000342	30	17	8
Variant_000343	25	23	12
Variant_000344	13	17	6
Variant_000345	83	55	25
Variant_000346	34	26	14
Variant_000347	29	30	24
Variant_000348	24	25	15
Variant_000349	59	28	22
Variant_000350	30	11	9
Variant_000351	40	15	6
Variant_000352	10	3	3
Variant_000353	64	50	28
Variant_000354	42	30	12
Variant_000355	47	34	20
Variant_000356	30	41	15
Variant_000357	53	23	13
Variant_000358	25	4	4
Variant_000359	46	10	5
Variant_000360	15	7	1
Variant_000361	53	47	31
Variant_000362	36	34	19
Variant_000363	38	31	9
Variant_000364	27	13	9
Variant_000365	42	16	7
Variant_000366	24	11	2
Variant_000367	32	10	10
Variant_000368	22	6	2
Variant_000369	63	44	27
Variant_000370	46	35	23
Variant_000371	45	20	13
Variant_000372	22	19	23
Variant_000373	39	25	12
Variant_000374	41	28	17
Variant_000375	25	7	7
Variant_000376	22	4	4
Variant_000377	64	53	23
Variant_000378	46	26	17
Variant_000379	34	50	27
Variant_000380	17	18	9
Variant_000381	46	14	17
Variant_000382	34	11	7
Variant_000383	26	10	7
Variant_000384	16	11	9
Variant_000385	133	131	84
Variant_000386	86	52	32
Variant_000387	47	56	30
Variant_000388	30	38	17
Variant_000389	56	47	13
Variant_000390	51	15	4
Variant_000391	42	27	15
Variant_000392	45	11	3
Variant_000393	67	42	33
Variant_000394	34	27	9
Variant_000395	44	17	20
Variant_000396	29	26	21
Variant_000397	53	27	9
Variant_000398	31	18	5
Variant_000399	29	4	13
Variant_000400	29	16	10
Variant_000401	77	55	31
Variant_000402	38	33	15
Variant_000403	39	33	15
Variant_000404	26	14	9
Variant_000405	50	22	14
Variant_000406	24	15	11
Variant_000407	42	18	15
Variant_000408	30	8	11
Variant_000409	59	30	19
Variant_000410	52	43	21
Variant_000411	37	19	7
Variant_000412	25	16	6
Variant_000413	56	14	14
Variant_000414	29	6	8
Variant_000415	21	11	10
Variant_000416	21	11	7
Variant_000417	84	83	44
Variant_000418	47	14	5
Variant_000419	36	35	15
Variant_000420	29	15	9
Variant_000421	40	24	18
Variant_000422	35	13	11
Variant_000423	42	13	15
Variant_000424	19	7	6
Variant_000425	43	21	13
Variant_000426	40	25	16
Variant_000427	35	18	9
Variant_000428	24	17	7
Variant_000429	52	13	9
Variant_000430	35	8	7
Variant_000431	25	7	3
Variant_000432	15	7	6
Variant_000433	64	33	16
Variant_000434	33	19	17
Variant_000435	40	19	12
Variant_000436	20	10	8
Variant_000437	40	18	10
Variant_000438	28	12	5
Variant_000439	25	0	4
Variant_000440	14	8	9
Variant_000441	51	40	32
Variant_000442	29	15	16
Variant_000443	31	9	9
Variant_000444	22	29	13
Variant_000445	38	11	11
Variant_000446	32	15	10
Variant_000447	37	11	8
Variant_000448	21	4	4
Variant_000449	225	222	166
Variant_000450	119	115	62
Variant_000451	112	95	67
Variant_000452	70	55	31
Variant_000453	105	64	26
Variant_000454	62	41	19
Variant_000455	71	53	26
Variant_000456	70	42	32
Variant_000457	133	106	60
Variant_000458	82	90	47
Variant_000459	71	48	32
Variant_000460	45	24	13
Variant_000461	100	52	34
Variant_000462	64	39	29
Variant_000463	81	19	16
Variant_000464	51	21	14
Variant_000465	131	108	98
Variant_000466	65	70	31
Variant_000467	70	43	19
Variant_000468	46	50	22
Variant_000469	77	45	31
Variant_000470	56	18	12
Variant_000471	48	27	18
Variant_000472	36	10	13
Variant_000473	91	78	54
Variant_000474	52	46	21
Variant_000475	50	32	10
Variant_000476	33	36	25
Variant_000477	95	26	19
Variant_000478	52	14	8
Variant_000479	48	19	8
Variant_000480	34	6	5
Variant_000481	128	90	55
Variant_000482	69	59	32
Variant_000483	92	78	31
Variant_000484	60	44	16
Variant_000485	67	54	36
Variant_000486	54	17	15
Variant_000487	53	27	13
Variant_000488	33	27	24
Variant_000489	87	42	22
Variant_000490	54	60	33
Variant_000491	50	35	26
Variant_000492	25	20	11
Variant_000493	73	24	18
Variant_000494	42	15	7
Variant_000495	39	21	17
Variant_000496	26	8	5
Variant_000497	89	68	35
Variant_000498	71	56	36
Variant_000499	71	27	25
Variant_000500	55	43	21
Variant_000501	65	34	19
Variant_000502	41	17	7
Variant_000503	52	26	16
Variant_000504	34	13	7
Variant_000505	121	115	64
Variant_000506	60	51	36
Variant_000507	63	73	29
Variant_000508	28	32	16
Variant_000509	82	31	14
