var	ctrl	d3g1lg4	d3g2l
Variant_003793	184	231	151
Variant_003794	111	131	87
Variant_003795	88	120	83
Variant_003796	79	119	66
Variant_003797	127	91	69
Variant_003798	61	75	35
Variant_003799	79	44	29
Variant_003800	72	72	33
Variant_003801	144	85	46
Variant_003802	106	54	47
Variant_003803	73	28	18
Variant_003804	65	30	23
Variant_003805	122	73	39
Variant_003806	69	28	21
Variant_003807	84	29	18
Variant_003808	65	28	18
Variant_003809	171	163	86
Variant_003810	114	126	96
Variant_003811	112	117	69
Variant_003812	75	47	26
Variant_003813	113	106	65
Variant_003814	86	67	39
Variant_003815	95	56	45
Variant_003816	56	37	22
Variant_003817	123	60	38
Variant_003818	59	52	24
Variant_003819	86	24	21
Variant_003820	52	13	9
Variant_003821	94	73	48
Variant_003822	76	78	51
Variant_003823	69	40	23
Variant_003824	45	21	13
Variant_003825	129	59	37
Variant_003826	97	69	42
Variant_003827	91	16	10
Variant_003828	74	19	20
Variant_003829	110	68	44
Variant_003830	48	37	23
Variant_003831	95	36	24
Variant_003832	65	34	13
Variant_003833	116	54	24
Variant_003834	81	46	14
Variant_003835	73	19	21
Variant_003836	53	21	12
Variant_003837	110	35	18
Variant_003838	67	24	16
Variant_003839	69	26	15
Variant_003840	34	17	13
Variant_003841	214	328	185
Variant_003842	130	255	164
Variant_003843	106	159	81
Variant_003844	58	102	61
Variant_003845	119	103	50
Variant_003846	90	123	71
Variant_003847	82	101	57
Variant_003848	67	74	44
Variant_003849	131	153	89
Variant_003850	74	117	59
Variant_003851	57	89	45
Variant_003852	41	61	37
Variant_003853	111	63	32
Variant_003854	63	40	24
Variant_003855	80	27	22
Variant_003856	56	48	23
Variant_003857	128	115	87
Variant_003858	80	85	58
Variant_003859	53	70	43
Variant_003860	48	76	39
Variant_003861	79	57	41
Variant_003862	68	69	30
Variant_003863	55	35	25
Variant_003864	36	30	18
Variant_003865	95	39	30
Variant_003866	66	40	23
Variant_003867	63	68	48
Variant_003868	36	25	18
Variant_003869	99	23	13
Variant_003870	43	6	9
Variant_003871	44	21	11
Variant_003872	64	19	21
Variant_003873	123	175	94
Variant_003874	84	112	92
Variant_003875	82	98	55
Variant_003876	60	91	51
Variant_003877	77	49	25
Variant_003878	52	41	29
Variant_003879	67	57	28
Variant_003880	38	42	31
Variant_003881	95	48	30
Variant_003882	62	54	27
Variant_003883	55	44	23
Variant_003884	39	25	13
Variant_003885	66	23	7
Variant_003886	45	23	9
Variant_003887	56	18	16
Variant_003888	48	19	16
Variant_003889	82	48	37
Variant_003890	66	32	24
Variant_003891	69	54	44
Variant_003892	64	67	27
Variant_003893	66	20	13
Variant_003894	43	36	14
Variant_003895	60	35	30
Variant_003896	41	31	14
Variant_003897	73	31	17
Variant_003898	56	24	9
Variant_003899	55	31	25
Variant_003900	39	29	13
Variant_003901	79	24	11
Variant_003902	47	9	10
Variant_003903	55	6	9
Variant_003904	31	8	9
Variant_003905	332	445	301
Variant_003906	161	228	151
Variant_003907	107	236	118
Variant_003908	115	118	69
Variant_003909	155	192	117
Variant_003910	103	128	88
Variant_003911	105	154	95
Variant_003912	84	88	42
Variant_003913	175	208	140
Variant_003914	108	148	78
Variant_003915	104	115	66
Variant_003916	68	105	41
Variant_003917	119	54	39
Variant_003918	83	49	33
Variant_003919	85	42	26
Variant_003920	58	62	36
Variant_003921	147	175	116
Variant_003922	112	219	131
Variant_003923	97	117	67
Variant_003924	53	70	36
Variant_003925	87	85	55
Variant_003926	62	20	29
Variant_003927	80	42	30
Variant_003928	64	33	19
Variant_003929	129	151	95
Variant_003930	71	63	25
Variant_003931	99	106	49
Variant_003932	64	47	32
Variant_003933	92	32	15
Variant_003934	82	50	31
Variant_003935	85	26	14
Variant_003936	61	28	22
Variant_003937	172	181	114
Variant_003938	92	100	53
Variant_003939	96	153	93
Variant_003940	70	109	73
Variant_003941	118	74	43
Variant_003942	63	41	24
Variant_003943	86	103	49
Variant_003944	57	61	37
Variant_003945	147	103	68
Variant_003946	59	75	47
Variant_003947	73	81	48
Variant_003948	50	80	47
Variant_003949	88	45	22
Variant_003950	57	26	10
Variant_003951	62	22	16
Variant_003952	35	20	12
Variant_003953	101	87	57
Variant_003954	87	62	43
Variant_003955	67	74	52
Variant_003956	79	54	48
Variant_003957	104	60	46
Variant_003958	42	13	4
Variant_003959	79	31	27
Variant_003960	48	35	20
Variant_003961	98	32	18
Variant_003962	64	34	17
Variant_003963	81	59	37
Variant_003964	59	45	21
Variant_003965	103	23	26
Variant_003966	63	27	17
Variant_003967	69	17	12
Variant_003968	43	21	2
Variant_003969	289	500	296
Variant_003970	143	297	151
Variant_003971	138	165	97
Variant_003972	94	169	77
Variant_003973	167	134	80
Variant_003974	91	105	61
Variant_003975	135	107	68
Variant_003976	72	106	47
Variant_003977	176	174	125
Variant_003978	92	155	92
Variant_003979	74	151	92
Variant_003980	49	69	54
Variant_003981	151	78	53
Variant_003982	69	52	38
Variant_003983	94	27	17
Variant_003984	53	29	19
Variant_003985	147	170	110
Variant_003986	90	118	76
Variant_003987	87	93	53
Variant_003988	57	38	18
Variant_003989	98	31	25
Variant_003990	61	31	23
Variant_003991	71	19	13
Variant_003992	45	24	17
Variant_003993	100	110	67
Variant_003994	81	57	53
Variant_003995	99	36	28
Variant_003996	69	43	31
Variant_003997	104	34	17
Variant_003998	80	23	16
Variant_003999	95	30	20
Variant_004000	61	27	13
Variant_004001	139	154	75
Variant_004002	102	104	72
Variant_004003	106	77	30
Variant_004004	78	106	41
Variant_004005	104	79	53
Variant_004006	58	43	19
Variant_004007	71	46	32
Variant_004008	57	42	18
Variant_004009	112	88	52
Variant_004010	66	74	39
Variant_004011	79	21	11
Variant_004012	34	54	36
Variant_004013	78	38	17
Variant_004014	52	23	5
Variant_004015	68	14	15
Variant_004016	39	22	9
Variant_004017	120	103	64
Variant_004018	120	100	45
Variant_004019	76	44	34
Variant_004020	65	29	27
Variant_004021	105	22	10
Variant_004022	54	30	27
Variant_004023	53	19	15
Variant_004024	51	20	10
Variant_004025	118	49	39
Variant_004026	60	45	21
Variant_004027	80	22	16
Variant_004028	48	27	20
Variant_004029	90	41	22
Variant_004030	58	20	13
Variant_004031	80	9	8
Variant_004032	46	21	11
Variant_004033	244	478	279
Variant_004034	202	272	165
Variant_004035	161	223	157
Variant_004036	123	212	122
Variant_004037	167	238	200
Variant_004038	119	149	93
Variant_004039	148	168	78
Variant_004040	93	117	64
Variant_004041	186	281	148
Variant_004042	112	182	90
Variant_004043	121	151	96
Variant_004044	75	51	34
Variant_004045	159	87	49
Variant_004046	86	71	36
Variant_004047	100	44	19
Variant_004048	62	39	28
Variant_004049	209	243	140
Variant_004050	116	171	101
Variant_004051	111	105	77
Variant_004052	74	76	59
Variant_004053	121	72	42
Variant_004054	82	47	31
Variant_004055	101	26	20
Variant_004056	57	34	30
Variant_004057	158	102	54
Variant_004058	94	77	57
Variant_004059	92	66	32
Variant_004060	81	49	31
Variant_004061	123	51	25
Variant_004062	58	35	19
Variant_004063	72	33	24
Variant_004064	71	33	21
Variant_004065	203	274	162
Variant_004066	138	194	86
Variant_004067	114	122	66
Variant_004068	88	103	72
Variant_004069	126	86	40
Variant_004070	86	70	47
Variant_004071	91	38	36
Variant_004072	65	29	18
Variant_004073	148	157	107
Variant_004074	82	127	70
Variant_004075	84	56	38
Variant_004076	53	41	25
Variant_004077	109	39	24
Variant_004078	70	46	26
Variant_004079	80	25	17
Variant_004080	48	11	7
Variant_004081	160	146	89
Variant_004082	90	131	83
Variant_004083	107	101	70
Variant_004084	72	77	52
Variant_004085	94	32	23
Variant_004086	65	41	19
Variant_004087	88	42	22
Variant_004088	63	39	32
Variant_004089	161	87	56
Variant_004090	78	62	37
Variant_004091	92	30	21
Variant_004092	74	39	22
Variant_004093	128	35	26
Variant_004094	66	30	12
Variant_004095	67	23	16
Variant_004096	51	28	6
Variant_004097	28	37	23
Variant_004098	13	22	13
Variant_004099	12	14	9
Variant_004100	6	5	5
Variant_004101	20	25	16
Variant_004102	10	8	7
Variant_004103	14	21	16
Variant_004104	11	6	8
Variant_004105	16	15	20
Variant_004106	10	6	5
Variant_004107	11	7	6
Variant_004108	4	2	0
Variant_004109	10	6	3
Variant_004110	8	7	1
Variant_004111	7	4	0
Variant_004112	7	4	2
Variant_004113	21	21	14
Variant_004114	11	4	5
Variant_004115	21	12	8
Variant_004116	9	7	6
Variant_004117	12	16	10
Variant_004118	8	0	0
Variant_004119	9	6	3
Variant_004120	3	2	1
Variant_004121	16	3	1
Variant_004122	3	2	1
Variant_004123	5	1	0
Variant_004124	13	3	1
Variant_004125	8	2	0
Variant_004126	3	7	0
Variant_004127	6	12	2
Variant_004128	4	1	2
Variant_004129	23	16	13
Variant_004130	6	7	4
Variant_004131	9	3	5
Variant_004132	6	4	2
Variant_004133	12	21	16
Variant_004134	6	12	4
Variant_004135	7	13	4
Variant_004136	1	0	0
Variant_004137	7	7	1
Variant_004138	8	5	2
Variant_004139	4	4	4
Variant_004140	4	4	0
Variant_004141	7	1	0
Variant_004142	5	0	0
Variant_004143	6	5	2
Variant_004144	1	2	1
Variant_004145	12	9	3
Variant_004146	10	8	6
Variant_004147	9	2	2
Variant_004148	6	4	1
Variant_004149	7	2	0
Variant_004150	2	0	0
Variant_004151	2	2	1
Variant_004152	9	6	0
Variant_004153	11	0	1
Variant_004154	5	1	1
Variant_004155	1	4	4
Variant_004156	6	9	6
Variant_004157	4	2	0
Variant_004158	1	0	0
Variant_004159	2	1	0
Variant_004160	2	0	0
Variant_004161	37	64	37
Variant_004162	29	53	27
Variant_004163	25	15	13
Variant_004164	15	14	13
Variant_004165	24	32	37
Variant_004166	12	10	10
Variant_004167	17	5	6
Variant_004168	11	8	7
Variant_004169	32	37	13
Variant_004170	12	8	0
Variant_004171	18	12	12
Variant_004172	9	7	3
Variant_004173	23	2	2
Variant_004174	7	1	0
Variant_004175	13	7	12
Variant_004176	5	1	1
Variant_004177	23	38	21
Variant_004178	20	20	6
Variant_004179	12	18	8
Variant_004180	5	8	4
Variant_004181	23	17	22
Variant_004182	4	11	5
Variant_004183	17	4	5
Variant_004184	4	2	0
Variant_004185	26	9	2
Variant_004186	7	2	2
Variant_004187	15	2	1
Variant_004188	6	2	0
Variant_004189	14	2	5
Variant_004190	4	2	1
Variant_004191	10	15	15
Variant_004192	1	2	1
Variant_004193	33	20	11
Variant_004194	14	26	16
Variant_004195	33	16	10
Variant_004196	10	8	1
Variant_004197	18	12	10
Variant_004198	10	8	4
Variant_004199	23	17	16
Variant_004200	7	1	1
Variant_004201	15	4	5
Variant_004202	9	9	5
Variant_004203	11	8	1
Variant_004204	3	2	2
Variant_004205	10	0	0
Variant_004206	4	0	0
Variant_004207	4	0	0
Variant_004208	2	2	1
Variant_004209	34	12	13
Variant_004210	13	8	5
Variant_004211	10	8	10
Variant_004212	10	4	3
Variant_004213	14	10	6
Variant_004214	5	1	2
Variant_004215	7	3	1
Variant_004216	5	5	0
Variant_004217	14	14	13
Variant_004218	13	20	10
Variant_004219	15	10	8
Variant_004220	4	0	0
Variant_004221	9	4	1
Variant_004222	6	3	0
Variant_004223	5	13	6
Variant_004225	55	85	49
Variant_004226	27	48	26
Variant_004227	32	27	18
Variant_004228	23	18	13
Variant_004229	39	40	28
Variant_004230	14	22	15
Variant_004231	20	31	21
Variant_004232	10	11	3
Variant_004233	22	23	13
Variant_004234	16	25	7
Variant_004235	16	15	7
Variant_004236	5	5	5
Variant_004237	16	13	9
Variant_004238	12	9	6
Variant_004239	16	10	2
Variant_004240	7	4	4
Variant_004241	35	15	5
Variant_004242	13	19	10
Variant_004243	20	16	8
Variant_004244	9	6	6
Variant_004245	19	13	3
Variant_004246	12	24	19
Variant_004247	13	3	0
Variant_004248	5	7	6
Variant_004249	24	28	10
Variant_004250	14	8	8
Variant_004251	13	15	12
Variant_004252	7	3	4
Variant_004253	17	5	2
Variant_004254	9	13	3
Variant_004255	5	5	3
Variant_004256	3	2	2
Variant_004257	40	33	19
Variant_004258	14	21	8
Variant_004259	29	15	3
Variant_004260	10	7	5
Variant_004261	16	19	12
Variant_004262	11	17	9
Variant_004263	9	2	1
Variant_004264	9	14	2
Variant_004265	16	20	14
Variant_004266	11	18	23
Variant_004267	10	9	1
Variant_004268	5	0	0
Variant_004269	18	10	5
Variant_004270	4	4	0
Variant_004271	6	2	0
Variant_004272	1	0	0
Variant_004273	34	23	10
Variant_004274	10	13	7
Variant_004275	12	0	2
Variant_004276	7	9	7
Variant_004277	14	12	3
Variant_004278	6	3	1
Variant_004279	14	5	3
Variant_004280	2	5	0
Variant_004281	24	6	3
Variant_004282	9	20	10
Variant_004283	5	0	0
Variant_004284	3	6	1
Variant_004285	12	6	1
Variant_004286	5	3	0
Variant_004287	3	2	5
Variant_004289	108	137	75
Variant_004290	42	52	38
Variant_004291	50	81	45
Variant_004292	37	46	26
Variant_004293	63	53	41
Variant_004294	26	21	27
Variant_004295	40	41	17
Variant_004296	25	27	17
Variant_004297	49	69	31
Variant_004298	33	37	12
Variant_004299	27	12	12
Variant_004300	26	30	20
Variant_004301	27	25	16
Variant_004302	29	16	3
Variant_004303	26	12	12
Variant_004304	13	4	3
Variant_004305	55	49	38
Variant_004306	29	15	10
Variant_004307	39	14	15
Variant_004308	15	16	13
Variant_004309	45	61	23
Variant_004310	23	23	14
Variant_004311	23	14	4
Variant_004312	12	12	3
Variant_004313	41	49	21
Variant_004314	24	17	9
Variant_004315	30	12	11
Variant_004316	21	15	15
Variant_004317	36	20	19
Variant_004318	19	14	5
Variant_004319	11	16	8
Variant_004320	5	2	2
Variant_004321	70	47	32
Variant_004322	25	16	5
Variant_004323	34	30	16
Variant_004324	26	19	7
Variant_004325	29	46	25
Variant_004326	15	17	5
Variant_004327	20	46	37
Variant_004328	10	6	5
Variant_004329	38	30	17
Variant_004330	13	5	5
Variant_004331	16	8	6
Variant_004332	9	6	2
Variant_004333	20	10	3
Variant_004334	10	3	0
Variant_004335	11	9	6
Variant_004336	3	3	1
Variant_004337	64	60	44
Variant_004338	30	24	12
Variant_004339	34	31	8
Variant_004340	17	9	9
Variant_004341	35	17	12
Variant_004342	15	14	10
Variant_004343	18	16	6
Variant_004344	9	3	3
Variant_004345	24	19	9
Variant_004346	19	18	4
Variant_004347	14	16	6
Variant_004348	11	3	1
Variant_004349	17	14	11
Variant_004350	9	6	5
Variant_004351	12	6	2
Variant_004352	6	0	0
Variant_004353	35	76	40
Variant_004354	22	58	34
Variant_004355	24	29	17
Variant_004356	24	26	17
Variant_004357	27	31	15
Variant_004358	10	9	9
Variant_004359	22	11	10
Variant_004360	8	3	0
Variant_004361	17	16	14
Variant_004362	11	15	7
Variant_004363	16	13	9
Variant_004364	14	1	6
Variant_004365	18	19	12
Variant_004366	10	11	8
Variant_004367	14	9	2
Variant_004368	2	1	0
Variant_004369	23	33	17
Variant_004370	8	6	8
Variant_004371	23	19	21
Variant_004372	12	8	6
Variant_004373	19	18	13
Variant_004374	4	0	1
Variant_004375	15	7	2
Variant_004376	6	2	0
Variant_004377	26	27	9
Variant_004378	9	8	4
Variant_004379	11	19	10
Variant_004380	6	5	2
Variant_004381	11	9	6
Variant_004382	11	2	3
Variant_004383	7	14	7
Variant_004384	5	0	2
Variant_004385	23	29	11
Variant_004386	8	2	3
Variant_004387	24	14	10
Variant_004388	13	17	7
Variant_004389	19	16	10
Variant_004390	2	3	0
Variant_004391	9	5	2
Variant_004392	3	2	0
Variant_004393	17	7	4
Variant_004394	7	7	1
Variant_004395	7	5	1
Variant_004396	6	0	0
Variant_004397	18	17	9
Variant_004398	2	3	1
Variant_004399	5	3	1
Variant_004401	27	15	6
Variant_004402	10	2	1
Variant_004403	12	1	3
Variant_004404	5	1	1
Variant_004405	16	12	5
Variant_004406	9	10	5
Variant_004407	5	1	1
Variant_004408	2	4	2
Variant_004409	13	2	1
Variant_004410	20	23	22
Variant_004411	7	0	1
Variant_004412	3	4	3
Variant_004413	5	2	0
Variant_004414	4	0	2
Variant_004415	4	5	4
Variant_004416	2	2	1
Variant_004417	61	70	43
Variant_004418	34	48	30
Variant_004419	51	53	25
Variant_004420	24	12	6
Variant_004421	43	60	54
Variant_004422	23	47	37
Variant_004423	40	41	44
Variant_004424	16	12	7
Variant_004425	32	20	15
Variant_004426	22	32	14
Variant_004427	20	5	3
Variant_004428	11	12	7
Variant_004429	32	24	8
Variant_004430	14	8	6
Variant_004431	23	5	1
Variant_004432	12	6	4
Variant_004433	49	45	17
Variant_004434	20	35	17
Variant_004435	28	32	18
Variant_004436	14	14	10
Variant_004437	32	25	13
Variant_004438	15	11	14
Variant_004439	18	10	12
Variant_004440	14	8	1
Variant_004441	26	26	25
Variant_004442	14	12	10
Variant_004443	21	24	11
Variant_004444	11	15	8
Variant_004445	12	14	2
Variant_004446	11	7	1
Variant_004447	10	11	2
Variant_004448	5	8	2
Variant_004449	49	47	32
Variant_004450	27	22	17
Variant_004451	29	26	9
Variant_004452	22	9	7
Variant_004453	28	41	25
Variant_004454	8	8	1
Variant_004455	29	21	17
Variant_004456	7	7	8
Variant_004457	34	18	16
Variant_004458	10	8	9
Variant_004459	18	11	9
Variant_004460	6	17	14
Variant_004461	16	11	4
Variant_004462	9	4	2
Variant_004463	13	5	4
Variant_004464	4	0	0
Variant_004465	34	26	15
Variant_004466	13	18	13
Variant_004467	29	14	9
Variant_004468	4	1	3
Variant_004469	33	17	6
Variant_004470	10	2	1
Variant_004471	14	1	1
Variant_004472	14	5	0
Variant_004473	28	30	26
Variant_004474	16	10	8
Variant_004475	10	19	12
Variant_004476	8	4	1
Variant_004477	24	5	7
Variant_004478	6	0	1
Variant_004479	10	8	3
Variant_004480	8	1	0
Variant_004481	85	157	77
Variant_004482	40	41	28
Variant_004483	43	69	36
Variant_004484	27	21	11
Variant_004485	51	67	50
Variant_004486	31	34	27
Variant_004487	40	37	22
Variant_004488	17	13	8
Variant_004489	50	43	32
Variant_004490	23	18	11
Variant_004491	16	18	14
Variant_004492	9	18	6
Variant_004493	34	25	13
Variant_004494	14	9	3
Variant_004495	23	11	6
Variant_004496	9	5	4
Variant_004497	50	31	23
Variant_004498	32	28	19
Variant_004499	33	8	6
Variant_004500	22	32	10
Variant_004501	35	37	25
Variant_004502	19	34	16
Variant_004503	22	6	1
Variant_004504	9	3	1
Variant_004505	45	55	32
Variant_004506	19	29	14
Variant_004507	22	16	9
Variant_004508	5	5	3
Variant_004509	18	13	14
Variant_004510	9	18	16
Variant_004511	22	5	2
Variant_004512	11	6	1
Variant_004513	57	59	42
Variant_004514	20	35	24
Variant_004515	42	53	39
Variant_004516	13	6	3
Variant_004517	29	41	28
Variant_004518	15	21	17
Variant_004519	20	8	2
Variant_004520	10	1	3
Variant_004521	33	33	13
Variant_004522	6	11	10
Variant_004523	25	15	7
Variant_004524	13	14	4
Variant_004525	20	7	5
Variant_004526	13	6	5
Variant_004527	12	5	3
Variant_004528	4	5	0
Variant_004529	30	20	6
Variant_004530	28	17	20
Variant_004531	19	15	8
Variant_004532	13	18	18
Variant_004533	24	14	8
Variant_004534	6	3	2
Variant_004535	12	4	7
Variant_004536	3	0	0
Variant_004537	27	40	25
Variant_004538	7	16	9
Variant_004539	15	9	7
Variant_004540	4	2	6
Variant_004541	14	8	3
Variant_004542	10	10	5
Variant_004543	5	1	1
Variant_004544	6	6	3
Variant_004545	170	202	131
Variant_004546	82	171	109
Variant_004547	94	88	59
Variant_004548	57	42	28
Variant_004549	88	116	92
Variant_004550	35	36	41
Variant_004551	77	54	38
Variant_004552	30	37	22
Variant_004553	76	113	58
Variant_004554	40	49	33
Variant_004555	60	57	30
Variant_004556	27	37	21
Variant_004557	61	42	36
Variant_004558	36	38	16
Variant_004559	42	17	10
Variant_004560	23	13	7
Variant_004561	95	87	49
Variant_004562	59	61	43
Variant_004563	52	57	34
Variant_004564	47	28	12
Variant_004565	74	83	64
Variant_004566	31	17	10
Variant_004567	39	25	15
Variant_004568	20	17	16
Variant_004569	80	102	63
Variant_004570	26	30	18
Variant_004571	37	26	12
Variant_004572	18	8	7
Variant_004573	53	28	15
Variant_004574	17	14	10
Variant_004575	24	16	12
Variant_004576	13	13	4
Variant_004577	77	108	67
Variant_004578	39	54	32
Variant_004579	71	61	35
Variant_004580	38	25	11
Variant_004581	61	56	38
Variant_004582	18	10	7
Variant_004583	39	35	23
Variant_004584	21	19	12
Variant_004585	47	38	18
Variant_004586	32	23	9
Variant_004587	23	23	19
Variant_004588	12	7	7
Variant_004589	46	21	14
Variant_004590	25	20	8
Variant_004591	18	20	10
Variant_004592	11	7	3
Variant_004593	94	73	49
Variant_004594	42	26	15
Variant_004595	53	36	14
Variant_004596	32	12	13
Variant_004597	49	25	13
Variant_004598	17	16	4
Variant_004599	36	18	9
Variant_004600	8	3	0
Variant_004601	54	73	50
Variant_004602	19	23	10
Variant_004603	29	26	21
Variant_004604	9	7	2
Variant_004605	34	4	5
Variant_004606	8	2	4
Variant_004607	14	6	3
Variant_004608	10	0	0
Variant_004609	35	59	34
Variant_004610	23	22	22
Variant_004611	23	53	23
Variant_004612	12	11	6
Variant_004613	29	57	25
Variant_004614	8	22	7
Variant_004615	16	24	16
Variant_004616	12	11	3
Variant_004617	22	27	12
Variant_004618	12	14	5
Variant_004619	17	2	5
Variant_004620	4	8	2
Variant_004621	21	34	20
Variant_004622	7	3	2
Variant_004623	12	2	2
Variant_004624	2	6	3
Variant_004625	32	32	28
Variant_004626	10	10	5
Variant_004627	19	16	10
Variant_004628	6	1	1
Variant_004629	19	12	10
Variant_004630	11	21	14
Variant_004631	9	0	1
Variant_004632	10	8	7
Variant_004633	15	10	12
Variant_004634	7	5	4
Variant_004635	11	4	4
Variant_004636	4	0	2
Variant_004637	13	3	2
Variant_004638	5	2	1
Variant_004639	10	3	3
Variant_004640	5	4	1
Variant_004641	23	24	19
Variant_004642	10	6	2
Variant_004643	11	30	7
Variant_004644	9	18	7
Variant_004645	12	13	9
Variant_004646	5	8	1
Variant_004647	9	11	4
Variant_004648	11	9	2
Variant_004649	9	18	14
Variant_004650	3	7	6
Variant_004651	5	4	1
Variant_004652	3	0	1
Variant_004653	6	6	2
Variant_004654	7	2	0
Variant_004655	5	3	3
Variant_004656	2	0	0
Variant_004657	27	11	4
Variant_004658	9	8	3
Variant_004659	14	0	1
Variant_004660	9	21	7
Variant_004661	8	2	1
Variant_004662	4	7	5
Variant_004663	16	9	5
Variant_004664	4	1	4
Variant_004665	17	8	7
Variant_004666	6	14	7
Variant_004667	8	2	1
Variant_004668	5	0	0
Variant_004669	12	1	2
Variant_004670	1	0	0
Variant_004671	9	11	4
Variant_004672	2	0	0
Variant_004673	58	74	55
Variant_004674	28	59	39
Variant_004675	40	53	34
Variant_004676	22	11	12
Variant_004677	40	53	41
Variant_004678	18	25	13
Variant_004679	34	25	24
Variant_004680	10	1	0
Variant_004681	18	41	28
Variant_004682	22	24	15
Variant_004683	30	52	20
Variant_004684	5	2	4
Variant_004685	18	9	4
Variant_004686	13	4	8
Variant_004687	12	9	1
Variant_004688	10	1	2
Variant_004689	32	50	31
Variant_004690	33	15	13
Variant_004691	23	40	18
Variant_004692	12	5	1
Variant_004693	35	34	10
Variant_004694	10	3	4
Variant_004695	15	6	4
Variant_004696	7	14	7
Variant_004697	30	27	15
Variant_004698	17	13	15
Variant_004699	19	7	9
Variant_004700	11	2	4
Variant_004701	22	3	4
Variant_004702	14	10	10
Variant_004703	9	3	2
Variant_004704	12	1	5
Variant_004705	41	31	16
Variant_004706	13	15	12
Variant_004707	32	32	9
Variant_004708	18	25	16
Variant_004709	22	29	21
Variant_004710	7	4	7
Variant_004711	17	6	5
Variant_004712	2	13	10
Variant_004713	16	22	4
Variant_004714	10	3	0
Variant_004715	12	5	1
Variant_004716	10	2	5
Variant_004717	19	10	2
Variant_004718	6	3	1
Variant_004719	10	1	3
Variant_004720	3	3	0
Variant_004721	38	32	21
Variant_004722	15	22	10
Variant_004723	30	29	9
Variant_004724	14	5	3
Variant_004725	20	22	8
Variant_004726	16	8	1
Variant_004727	9	3	5
Variant_004728	9	0	0
Variant_004729	19	21	8
Variant_004730	12	11	7
Variant_004731	11	3	3
Variant_004732	7	0	0
Variant_004733	18	4	2
Variant_004734	5	0	1
Variant_004735	7	4	0
Variant_004737	61	87	68
Variant_004738	43	73	41
Variant_004739	28	61	39
Variant_004740	27	23	11
Variant_004741	29	60	43
Variant_004742	18	25	20
Variant_004743	25	32	20
Variant_004744	18	26	17
Variant_004745	31	35	22
Variant_004746	19	18	12
Variant_004747	21	8	6
Variant_004748	13	1	2
Variant_004749	28	22	8
Variant_004750	12	10	9
Variant_004751	20	14	14
Variant_004752	14	4	4
Variant_004753	37	38	25
Variant_004754	31	33	13
Variant_004755	24	28	24
Variant_004756	13	15	10
Variant_004757	22	14	10
Variant_004758	14	2	3
Variant_004759	19	10	8
Variant_004760	12	1	0
Variant_004761	29	42	17
Variant_004762	9	10	7
Variant_004763	17	7	4
Variant_004764	6	3	3
Variant_004765	20	8	4
Variant_004766	10	2	1
Variant_004767	5	1	0
Variant_004768	5	1	1
Variant_004769	38	48	28
Variant_004770	19	43	28
Variant_004771	22	32	19
Variant_004772	14	10	6
Variant_004773	19	14	10
Variant_004774	9	5	3
Variant_004775	17	8	12
Variant_004776	12	9	4
Variant_004777	33	14	6
Variant_004778	10	5	5
Variant_004779	12	15	5
Variant_004780	13	1	0
Variant_004781	13	8	4
Variant_004782	6	3	1
Variant_004783	7	7	1
Variant_004784	6	2	1
Variant_004785	34	20	14
Variant_004786	12	35	37
Variant_004787	30	10	6
Variant_004788	7	0	0
Variant_004789	35	35	18
Variant_004790	7	7	6
Variant_004791	10	6	4
Variant_004792	7	2	1
Variant_004793	31	31	14
Variant_004794	10	6	1
Variant_004795	16	7	3
Variant_004796	8	0	3
Variant_004797	11	3	3
Variant_004798	5	4	5
Variant_004799	6	0	0
Variant_004800	3	2	0
Variant_004801	98	127	69
Variant_004802	60	124	89
Variant_004803	70	79	71
Variant_004804	31	40	27
Variant_004805	79	95	85
Variant_004806	30	30	26
Variant_004807	29	42	28
Variant_004808	26	15	12
Variant_004809	48	42	18
Variant_004810	38	28	13
Variant_004811	37	37	24
Variant_004812	21	27	13
Variant_004813	59	34	23
Variant_004814	25	16	5
Variant_004815	27	25	11
Variant_004816	15	12	5
Variant_004817	98	71	44
Variant_004818	39	27	22
Variant_004819	43	69	49
Variant_004820	19	28	16
Variant_004821	42	22	13
Variant_004822	17	18	13
Variant_004823	32	20	9
Variant_004824	17	11	4
Variant_004825	56	37	34
Variant_004826	24	27	13
Variant_004827	27	20	7
Variant_004828	13	15	9
Variant_004829	44	9	5
Variant_004830	12	19	18
Variant_004831	18	21	15
Variant_004832	10	9	3
Variant_004833	72	43	32
Variant_004834	23	49	30
Variant_004835	72	45	28
Variant_004836	30	22	14
Variant_004837	46	40	28
Variant_004838	18	19	12
Variant_004839	32	35	17
Variant_004840	16	14	7
Variant_004841	24	15	9
Variant_004842	20	30	11
Variant_004843	20	7	5
Variant_004844	7	5	4
Variant_004845	24	20	10
Variant_004846	9	4	4
Variant_004847	18	9	6
Variant_004848	8	8	5
Variant_004849	60	65	39
Variant_004850	28	38	21
Variant_004851	53	46	22
Variant_004852	19	10	10
Variant_004853	33	33	21
Variant_004854	11	19	7
Variant_004855	24	22	6
Variant_004856	12	3	0
Variant_004857	45	16	14
Variant_004858	10	10	1
Variant_004859	18	24	17
Variant_004860	8	6	3
Variant_004861	26	8	4
Variant_004862	14	3	1
Variant_004863	12	4	3
Variant_004864	5	0	0
Variant_004865	71	136	101
Variant_004866	35	106	61
Variant_004867	48	91	49
Variant_004868	24	46	42
Variant_004869	40	40	41
Variant_004870	25	37	22
Variant_004871	35	35	24
